name,approx_roster_start,approx_roster_end,source,source_url,image_url,local_path
Keith Jardine,2005-11-05,2010-06-19,Wikipedia,https://en.wikipedia.org/wiki/Keith_Jardine,https://upload.wikimedia.org/wikipedia/commons/d/dd/Keith_Jardine_-_UFC_100_Fan_Expo_-_Mandalay_Bay_Casino%2C_Las_Vegas_%28crop%29.jpg,downloaded_photos/old_fighters/keith-jardine.jpg
Renato Sobral,2000-11-17,2007-08-25,Wikipedia,https://en.wikipedia.org/wiki/Renato_Sobral,https://upload.wikimedia.org/wikipedia/commons/9/9e/Renato_%22Babalu%22_Sobral.jpg,downloaded_photos/old_fighters/renato-sobral.jpg
Anderson Silva,2006-06-28,2020-10-31,Wikipedia,https://en.wikipedia.org/wiki/Anderson_Silva,https://upload.wikimedia.org/wikipedia/commons/a/a2/Anderson_Silva.png,downloaded_photos/old_fighters/anderson-silva.jpg
Chael Sonnen,2005-10-07,2013-11-16,Wikipedia,https://en.wikipedia.org/wiki/Chael_Sonnen,https://upload.wikimedia.org/wikipedia/commons/5/53/Meet_and_Greet_with_Special_MMA_Clinic_%282%29.jpg,downloaded_photos/old_fighters/chael-sonnen.jpg
Michael Bisping,2006-06-24,2017-11-25,Wikipedia,https://en.wikipedia.org/wiki/Michael_Bisping,https://upload.wikimedia.org/wikipedia/commons/1/11/MichaelBispingProfile.png,downloaded_photos/old_fighters/michael-bisping.jpg
Nate Marquardt,2005-08-06,2017-11-11,Wikipedia,https://en.wikipedia.org/wiki/Nate_Marquardt,https://upload.wikimedia.org/wikipedia/commons/8/8a/Nate-Marquardt.jpg,downloaded_photos/old_fighters/nate-marquardt.jpg
Yushin Okami,2006-08-26,2018-12-01,Sherdog,https://www.sherdog.com/fighter/Yushin-Okami-5569,https://www.sherdog.com/image_crop/200/300/_images/fighter/20241130010938_Yushin_Okami.JPG,downloaded_photos/old_fighters/yushin-okami.jpg
Luke Rockhold,2013-05-18,2022-08-20,Wikipedia,https://en.wikipedia.org/wiki/Luke_Rockhold,https://upload.wikimedia.org/wikipedia/commons/3/3c/Luke_Rockhold_2025.jpg,downloaded_photos/old_fighters/luke-rockhold.jpg
Tim Boetsch,2008-02-02,2019-03-09,Sherdog,https://www.sherdog.com/fighter/Tim-Boetsch-19544,https://www.sherdog.com/image_crop/200/300/_images/fighter/20140413031004_IMG_4323.JPG,downloaded_photos/old_fighters/tim-boetsch.jpg
Georges St-Pierre,2004-01-31,2017-11-04,Wikipedia,https://en.wikipedia.org/wiki/Georges_St-Pierre,https://upload.wikimedia.org/wikipedia/commons/e/eb/2021_-_Centre_Stage_DG4_5765_%2851654942080%29_%28cropped%29.jpg,downloaded_photos/old_fighters/georges-st-pierre.jpg
Matt Hughes,1999-09-24,2011-09-24,Wikipedia,https://en.wikipedia.org/wiki/Matt_Hughes_(fighter),https://upload.wikimedia.org/wikipedia/commons/2/27/Matt_Hughes_%28cropped%29.png,downloaded_photos/old_fighters/matt-hughes.jpg
Matt Serra,2001-05-04,2010-09-25,Wikipedia,https://en.wikipedia.org/wiki/Matt_Serra,https://upload.wikimedia.org/wikipedia/commons/e/e6/Matt_Serra_2024.png,downloaded_photos/old_fighters/matt-serra.jpg
BJ Penn,2001-05-04,2019-05-11,Wikipedia,https://en.wikipedia.org/wiki/B.J._Penn,https://upload.wikimedia.org/wikipedia/commons/2/29/B.J._Penn%2C_2019.jpg,downloaded_photos/old_fighters/bj-penn.jpg
Nick Diaz,2003-09-26,2021-09-25,Wikipedia,https://en.wikipedia.org/wiki/Nick_Diaz,https://upload.wikimedia.org/wikipedia/commons/5/5b/Nick_Diaz.png,downloaded_photos/old_fighters/nick-diaz.jpg
Carlos Condit,2009-04-01,2021-07-10,Wikipedia,https://en.wikipedia.org/wiki/Carlos_Condit,https://upload.wikimedia.org/wikipedia/commons/b/b1/Carloscondit.jpg,downloaded_photos/old_fighters/carlos-condit.jpg
Robbie Lawler,2002-05-10,2023-07-08,Wikipedia,https://en.wikipedia.org/wiki/Robbie_Lawler,https://upload.wikimedia.org/wikipedia/commons/1/12/Robbie_Lawler.png,downloaded_photos/old_fighters/robbie-lawler.jpg
Johny Hendricks,2009-08-08,2017-11-04,Wikipedia,https://en.wikipedia.org/wiki/Johny_Hendricks,https://upload.wikimedia.org/wikipedia/commons/1/1b/Johny_Hendricks_MMA.jpg,downloaded_photos/old_fighters/johny-hendricks.jpg
Jake Shields,2010-10-23,2014-03-15,Wikipedia,https://en.wikipedia.org/wiki/Jake_Shields,https://upload.wikimedia.org/wikipedia/commons/9/9d/Jake_Shields.jpg,downloaded_photos/old_fighters/jake-shields.jpg
Josh Koscheck,2005-04-09,2015-03-21,Wikipedia,https://en.wikipedia.org/wiki/Josh_Koscheck,https://upload.wikimedia.org/wikipedia/commons/8/83/JoshKoscheck.png,downloaded_photos/old_fighters/josh-koscheck.jpg
Diego Sanchez,2005-04-09,2020-09-26,Wikipedia,https://en.wikipedia.org/wiki/Diego_Sanchez,https://upload.wikimedia.org/wikipedia/commons/5/59/DiegoSanchez.png,downloaded_photos/old_fighters/diego-sanchez.jpg
Thiago Alves,2005-10-03,2019-12-07,Wikipedia,https://en.wikipedia.org/wiki/Thiago_Alves_(fighter),https://upload.wikimedia.org/wikipedia/commons/9/9c/Thiago_Alves.JPG,downloaded_photos/old_fighters/thiago-alves.jpg
Dan Hardy,2008-10-18,2012-09-29,Wikipedia,https://en.wikipedia.org/wiki/Dan_Hardy,https://upload.wikimedia.org/wikipedia/commons/5/53/Dan_Hardy.jpg,downloaded_photos/old_fighters/dan-hardy.jpg
Martin Kampmann,2006-08-17,2013-08-28,Wikipedia,https://en.wikipedia.org/wiki/Martin_Kampmann,https://upload.wikimedia.org/wikipedia/commons/1/15/Martin_Kampmann_after_fight.png,downloaded_photos/old_fighters/martin-kampmann.jpg
Frankie Edgar,2007-02-03,2022-11-12,Wikipedia,https://en.wikipedia.org/wiki/Frankie_Edgar,https://upload.wikimedia.org/wikipedia/commons/0/08/Frankie_Edgar.jpg,downloaded_photos/old_fighters/frankie-edgar.jpg
Gray Maynard,2007-06-23,2018-10-06,Wikipedia,https://en.wikipedia.org/wiki/Gray_Maynard,https://upload.wikimedia.org/wikipedia/commons/2/25/Graymaynard.jpg,downloaded_photos/old_fighters/gray-maynard.jpg
Kenny Florian,2005-04-09,2011-10-08,Wikipedia,https://en.wikipedia.org/wiki/Kenny_Florian,https://upload.wikimedia.org/wikipedia/commons/f/f1/Kenny_Florian_wearing_Ranger_Up_Geardo_shirt.jpg,downloaded_photos/old_fighters/kenny-florian.jpg
Jens Pulver,1999-09-24,2007-06-23,Wikipedia,https://en.wikipedia.org/wiki/Jens_Pulver,https://upload.wikimedia.org/wikipedia/commons/1/13/Jens_Pulver_at_UFC_-_Neer_vs_Diaz_2013-12-03_22-51.jpg,downloaded_photos/old_fighters/jens-pulver.jpg
Sean Sherk,2001-02-23,2010-09-25,Wikipedia,https://en.wikipedia.org/wiki/Sean_Sherk,https://upload.wikimedia.org/wikipedia/commons/7/70/Sean-sherk.jpg,downloaded_photos/old_fighters/sean-sherk.jpg
Melvin Guillard,2005-11-05,2014-03-08,Wikipedia,https://en.wikipedia.org/wiki/Melvin_Guillard,https://upload.wikimedia.org/wikipedia/commons/c/c0/Melvinguillard.jpg,downloaded_photos/old_fighters/melvin-guillard.jpg
Eddie Alvarez,2014-09-27,2018-07-28,Wikipedia,https://en.wikipedia.org/wiki/Eddie_Alvarez,https://upload.wikimedia.org/wikipedia/commons/0/06/Eddie_Alvarez.jpg,downloaded_photos/old_fighters/eddie-alvarez.jpg
Gilbert Melendez,2013-04-20,2019-07-06,Wikipedia,https://en.wikipedia.org/wiki/Gilbert_Melendez,https://upload.wikimedia.org/wikipedia/commons/1/12/Gilbert_Melendez.jpg,downloaded_photos/old_fighters/gilbert-melendez.jpg
Clay Guida,2006-10-14,2024-12-07,Wikipedia,https://en.wikipedia.org/wiki/Clay_Guida,https://upload.wikimedia.org/wikipedia/commons/a/a2/Clay_Guida.png,downloaded_photos/old_fighters/clay-guida.jpg
Donald Cerrone,2011-02-05,2022-07-02,Wikipedia,https://en.wikipedia.org/wiki/Donald_Cerrone,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/VCJCS_hosts_USO_Spring_Tour_160312-D-HU462-263.jpg/3840px-VCJCS_hosts_USO_Spring_Tour_160312-D-HU462-263.jpg,downloaded_photos/old_fighters/donald-cerrone.jpg
Jose Aldo,2011-04-30,2025-05-10,Wikipedia,https://en.wikipedia.org/wiki/Jos%C3%A9_Aldo,https://upload.wikimedia.org/wikipedia/commons/9/9d/Jos%C3%A9_Aldo%2C_UFC_189_World_Tour_London_%282%29_%28cropped%29.jpg,downloaded_photos/old_fighters/jose-aldo.jpg
Urijah Faber,2011-03-19,2019-12-14,Wikipedia,https://en.wikipedia.org/wiki/Urijah_Faber,https://upload.wikimedia.org/wikipedia/commons/c/c9/Urijah_Faber_24_July_2009.jpg,downloaded_photos/old_fighters/urijah-faber.jpg
Chad Mendes,2011-02-05,2018-12-29,Wikipedia,https://en.wikipedia.org/wiki/Chad_Mendes,https://upload.wikimedia.org/wikipedia/commons/3/3b/Chad_Mendes.jpeg,downloaded_photos/old_fighters/chad-mendes.jpg
