first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,fighter_url
Kevin,Lee,The Motown Phenom,"5' 9""",170 lbs.,"77.0""",Orthodox,18,8,0,,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7
Rocky,Lee,,"5' 9""",145 lbs.,--,Orthodox,3,2,0,,http://ufcstats.com/fighter-details/0d1c163b206e8c5f
Andrea,Lee,KGB,"5' 6""",125 lbs.,"69.0""",Orthodox,13,11,0,,http://ufcstats.com/fighter-details/05fa626cb33d15b8
JeongYeong,Lee,Korean Tiger,"5' 10""",145 lbs.,"73.0""",Orthodox,11,3,0,,http://ufcstats.com/fighter-details/d008d785f6347dc2
JungHyun,Lee,The Phenom,"5' 5""",125 lbs.,"65.0""",Orthodox,8,1,0,,http://ufcstats.com/fighter-details/b6033505c245e28b
ChangHo,Lee,,"5' 8""",135 lbs.,"69.0""",Orthodox,11,2,0,,http://ufcstats.com/fighter-details/117a06469813e4ef
Macksom,Lee,,"6' 1""",135 lbs.,"75.0""",Orthodox,9,1,0,,http://ufcstats.com/fighter-details/9fd299c8356cbf0f
Yi Sak,Lee,,--,185 lbs.,--,,8,1,0,,http://ufcstats.com/fighter-details/e6666480a830f764
Ricky,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0,,http://ufcstats.com/fighter-details/5817df778cc27274
Sherron,Leggett,Rob Roy,"5' 8""",155 lbs.,--,Southpaw,21,6,0,,http://ufcstats.com/fighter-details/4f670b7972fa0a2e
Cheyden,Leialoha,Steadfast,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0,,http://ufcstats.com/fighter-details/98cbbc06074c68a4
Claudia,Leite,,"5' 3""",135 lbs.,"64.0""",Orthodox,8,3,0,,http://ufcstats.com/fighter-details/90550a08f0b02b6f
Thales,Leites,,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0,,http://ufcstats.com/fighter-details/cfb65863d5099327
Jovan,Leka,,"6' 4""",259 lbs.,"75.0""",Orthodox,11,2,0,,http://ufcstats.com/fighter-details/182a73d5b4e57871
Stefan,Leko,Blitz,"6' 2""",215 lbs.,--,Orthodox,0,3,0,,http://ufcstats.com/fighter-details/d56bb6dff2ae77eb
Gabe,Lemley,,"5' 8""",155 lbs.,--,Orthodox,13,9,0,,http://ufcstats.com/fighter-details/fd4578cac86d75ca
Amanda,Lemos,,"5' 4""",115 lbs.,"65.0""",Southpaw,15,6,1,,http://ufcstats.com/fighter-details/3df5493bb279226f
Giacomo,Lemos,,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0,,http://ufcstats.com/fighter-details/f37822d5b3e47517
Christophe,Leninger,,"6' 0""",200 lbs.,--,Southpaw,3,4,0,,http://ufcstats.com/fighter-details/7269329bd87eb479
Jesse,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0,,http://ufcstats.com/fighter-details/3ae10ac4df3df05c
